"year","month","pp","anom"
2015,12,42.72247868351,-24.5459916633006
2016,1,24.4672556,-23.4544049998905
2016,2,5.16068818331,-42.4204046339169
2016,3,22.7777288,-38.0147219232939
2016,4,177.922634944,36.0742790541046
2016,5,75.50402858257,-244.314894870623
2016,6,18.403514479,-385.753578941431
2016,7,303.980947463,-8.28204803820682
2016,8,279.47931589,5.69639698971764
2016,9,64.1367942442,-102.891335339105
2016,10,187.07109952,51.8909302590264
2016,11,50.535019792081,-37.2904241178802
2016,12,88.5920701682,21.3235998213894
2017,1,38.68852012238,-9.23314047751047
2017,2,53.3040197168,5.72292689957308
2017,3,60.090826321,-0.701624402293859
2017,4,94.368617347509,-47.4797385423864
2017,5,159.271818835,-160.547104618193
2017,6,383.7174029787,-20.4396904417306
2017,7,218.25394324357,-94.0090522576368
2017,8,401.15165780888,127.368738908598
2017,9,142.667300258385,-24.3608293249203
2017,10,277.34558836974,142.165419108766
2017,11,60.4023668234,-27.4230770865612
2017,12,47.21962474951,-20.0488455973006
2018,1,43.2128876154,-4.70877298449047
2018,2,36.316118544,-11.2649742732269
2018,3,114.62938523569,53.8369345123961
2018,4,198.6736891,56.8253332101046
2018,5,225.086565455,-94.7323579981927
2018,6,345.984441605624,-58.1726518148067
2018,7,141.46387564471,-170.799119856497
2018,8,201.92473774,-71.8581811602824
2018,9,358.4359799017,191.407850318395
2018,10,184.517283129171,49.3371138681978
2018,11,155.576229446,67.7507855360388
2018,12,55.405924855021,-11.8625454917896
2019,1,81.20880642694,33.2871458270495
2019,2,28.474760956,-19.1063318612269
2019,3,33.7597132183,-27.0327375049939
2019,4,32.749204380029,-109.099151509866
2019,5,320.295188435,0.476264981807333
2019,6,517.04012190426,112.883028483829
2019,7,382.072296433,69.8093009317932
2019,8,178.1733717154,-95.6095471848824
2019,9,113.5287037142,-53.4994258691053
2019,10,106.4501967917,-28.7299724692736
2019,11,68.24857872,-19.5768651899612
2019,12,26.028516461,-41.2399538858106
2020,1,44.81808698052,-3.10357361937047
2020,2,21.34636316076,-26.2347296564669
2020,3,14.550246877,-46.2422038462939
2020,4,52.4473294222,-89.4010264676954
